prefix,reference,entity
site-of-special-scientific-interest,SO507745,467906
site-of-special-scientific-interest,SO507745,467906
site-of-special-scientific-interest,SU065973,468876
site-of-special-scientific-interest,TF736161,469782
site-of-special-scientific-interest,TF736161,469782
site-of-special-scientific-interest,SO356353,467867
site-of-special-scientific-interest,SD496689,467001
site-of-special-scientific-interest,NY403181,466596
site-of-special-scientific-interest,SS732408,468508
site-of-special-scientific-interest,SS732408,468508
site-of-special-scientific-interest,SZ239928,469591
site-of-special-scientific-interest,SZ139965,469585
site-of-special-scientific-interest,SZ139965,469585
site-of-special-scientific-interest,SZ139965,469585
site-of-special-scientific-interest,SZ139965,469585
site-of-special-scientific-interest,SZ139965,469585
site-of-special-scientific-interest,SZ860925,469642
site-of-special-scientific-interest,ST745109,468749
site-of-special-scientific-interest,ST745109,468749
site-of-special-scientific-interest,ST745109,468749
site-of-special-scientific-interest,ST745109,468749
site-of-special-scientific-interest,ST745109,468749
site-of-special-scientific-interest,ST745109,468749
site-of-special-scientific-interest,ST745109,468749
site-of-special-scientific-interest,ST745109,468749
site-of-special-scientific-interest,ST745109,468749
site-of-special-scientific-interest,ST745109,468749
site-of-special-scientific-interest,SU077017,468881
site-of-special-scientific-interest,SU077017,468881
site-of-special-scientific-interest,SZ582786,469630
site-of-special-scientific-interest,TG493072,469878
site-of-special-scientific-interest,SY960809,469560
site-of-special-scientific-interest,SY960809,469560
site-of-special-scientific-interest,SY960809,469560
site-of-special-scientific-interest,NY673762,466663
site-of-special-scientific-interest,SZ063946,469578
site-of-special-scientific-interest,SZ063946,469578
site-of-special-scientific-interest,SZ063946,469578
site-of-special-scientific-interest,NU170360,466483
site-of-special-scientific-interest,NU170360,466483
site-of-special-scientific-interest,NU170360,466483
site-of-special-scientific-interest,SY553989,469510
site-of-special-scientific-interest,SY553989,469510
site-of-special-scientific-interest,SY553989,469510
site-of-special-scientific-interest,SY553989,469510
site-of-special-scientific-interest,SY553989,469510
site-of-special-scientific-interest,SY553989,469510
site-of-special-scientific-interest,NU006297,466471
site-of-special-scientific-interest,NU006297,466471
site-of-special-scientific-interest,NU006297,466471
site-of-special-scientific-interest,ST982189,468840
site-of-special-scientific-interest,ST982189,468840
site-of-special-scientific-interest,ST982189,468840
site-of-special-scientific-interest,ST982189,468840
site-of-special-scientific-interest,ST982189,468840
site-of-special-scientific-interest,ST982189,468840
site-of-special-scientific-interest,ST982189,468840
site-of-special-scientific-interest,ST982189,468840
site-of-special-scientific-interest,ST982189,468840
site-of-special-scientific-interest,ST982189,468840
site-of-special-scientific-interest,ST982189,468840
site-of-special-scientific-interest,ST982189,468840
site-of-special-scientific-interest,ST982189,468840
site-of-special-scientific-interest,NY734034,466689
site-of-special-scientific-interest,NY734034,466689
site-of-special-scientific-interest,NY734034,466689
site-of-special-scientific-interest,NY734034,466689
site-of-special-scientific-interest,SZ315851,469592
site-of-special-scientific-interest,SZ315851,469592
site-of-special-scientific-interest,SZ315851,469592
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,SY838910,469540
site-of-special-scientific-interest,NY955204,466777
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SE766103,467297
site-of-special-scientific-interest,SU779017,469112
site-of-special-scientific-interest,SX022549,469319
site-of-special-scientific-interest,SX022549,469319
site-of-special-scientific-interest,SX022549,469319
site-of-special-scientific-interest,SV910095,469226
site-of-special-scientific-interest,SV910095,469226
site-of-special-scientific-interest,SV910095,469226
site-of-special-scientific-interest,SV910095,469226
site-of-special-scientific-interest,SZ394897,469604
site-of-special-scientific-interest,SZ394897,469604
site-of-special-scientific-interest,SZ394897,469604
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,SV876154,469215
site-of-special-scientific-interest,NT915061,466461
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NZ383665,466883
site-of-special-scientific-interest,NY947964,466772
site-of-special-scientific-interest,NY947964,466772
site-of-special-scientific-interest,SZ067927,469579
site-of-special-scientific-interest,SZ067927,469579
site-of-special-scientific-interest,SZ067927,469579
site-of-special-scientific-interest,SZ067927,469579
site-of-special-scientific-interest,SZ067927,469579
site-of-special-scientific-interest,SE704332,467279
site-of-special-scientific-interest,SE704332,467279
site-of-special-scientific-interest,SE704332,467279
site-of-special-scientific-interest,SD888065,467103
site-of-special-scientific-interest,SD888065,467103
site-of-special-scientific-interest,SD888065,467103
site-of-special-scientific-interest,SD888065,467103
site-of-special-scientific-interest,SD888065,467103
site-of-special-scientific-interest,SD888065,467103
site-of-special-scientific-interest,SD888065,467103
site-of-special-scientific-interest,SD888065,467103
site-of-special-scientific-interest,SD888065,467103
site-of-special-scientific-interest,SD888065,467103
site-of-special-scientific-interest,SD888065,467103
site-of-special-scientific-interest,SD888065,467103
site-of-special-scientific-interest,NY501019,466621
site-of-special-scientific-interest,NY501019,466621
site-of-special-scientific-interest,TQ612413,470475
site-of-special-scientific-interest,TQ612413,470475
site-of-special-scientific-interest,TQ612413,470475
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SV945145,469235
site-of-special-scientific-interest,SK138617,467589
site-of-special-scientific-interest,SK138617,467589
site-of-special-scientific-interest,SK138617,467589
site-of-special-scientific-interest,SK138617,467589
site-of-special-scientific-interest,SK138617,467589
site-of-special-scientific-interest,SK138617,467589
site-of-special-scientific-interest,SV919165,469228
site-of-special-scientific-interest,SV919165,469228
site-of-special-scientific-interest,SV919165,469228
site-of-special-scientific-interest,SE657373,467270
site-of-special-scientific-interest,SO783392,468034
site-of-special-scientific-interest,SY931871,469553
site-of-special-scientific-interest,SY931871,469553
site-of-special-scientific-interest,SY931871,469553
site-of-special-scientific-interest,ST987253,468841
site-of-special-scientific-interest,NZ824011,466916
site-of-special-scientific-interest,NZ824011,466916
site-of-special-scientific-interest,NZ824011,466916
site-of-special-scientific-interest,NZ824011,466916
site-of-special-scientific-interest,SZ001971,469569
site-of-special-scientific-interest,SZ001971,469569
site-of-special-scientific-interest,SZ001971,469569
site-of-special-scientific-interest,SO966527,468140
site-of-special-scientific-interest,SZ457936,469612
site-of-special-scientific-interest,SZ457936,469612
site-of-special-scientific-interest,SZ457936,469612
